shipment_id,origin,destination,carrier,mode,scheduled_departure,scheduled_arrival,distance_km,cargo_value,container_type,customer_tier
SH100,Port of Tokyo,Port of Sydney,Apex Cargo,Road,2026-06-19T08:00:00,2026-06-27T06:00:00,13918,4354572,Flat Rack,Tier 1
SH101,Port of Tokyo,Port of Dubai,Swift Logistics,Rail,2026-06-02T08:00:00,2026-06-10T10:00:00,12136,9678519,Dry Van,Tier 1
SH102,Port of Newark,Port of Sydney,Global Trans,Rail,2026-06-29T08:00:00,2026-06-30T20:00:00,5551,1312752,Open Top,Tier 3
SH103,Port of Los Angeles,Port of Mumbai,Oceanic Link,Road,2026-06-28T08:00:00,2026-06-30T19:00:00,9774,6163790,Reefer,Tier 1
SH104,Port of Newark,Port of Singapore,Swift Logistics,Rail,2026-06-07T08:00:00,2026-06-12T17:00:00,8234,8292680,Dry Van,Tier 3
SH105,Port of Hamburg,Port of Mumbai,Global Trans,Rail,2026-06-26T08:00:00,2026-06-30T10:00:00,9292,3435659,Reefer,Tier 2
SH106,Port of Hamburg,Port of Dubai,Atlas Freight,Rail,2026-06-15T08:00:00,2026-06-19T03:00:00,5986,4106518,Open Top,Tier 2
SH107,Port of Rotterdam,Port of New York,Oceanic Link,Rail,2026-06-22T08:00:00,2026-06-23T10:00:00,2085,6299859,Reefer,Tier 2
SH108,Port of Singapore,Port of Sydney,Apex Cargo,Road,2026-06-04T08:00:00,2026-06-08T09:00:00,7373,2349435,Reefer,Tier 2
SH109,Port of Mumbai,Port of Shanghai,Atlas Freight,Ocean,2026-06-18T08:00:00,2026-06-24T23:00:00,8369,4824183,Flat Rack,Tier 2
SH110,Port of Shanghai,Port of Los Angeles,Oceanic Link,Ocean,2026-06-24T08:00:00,2026-06-30T18:00:00,10500,5000000,Reefer,Tier 1
SH111,Port of Singapore,Port of Mumbai,Atlas Freight,Rail,2026-06-01T08:00:00,2026-06-07T07:00:00,9071,1335160,Flat Rack,Tier 3
SH112,Port of Shanghai,Port of Singapore,Oceanic Link,Rail,2026-06-08T08:00:00,2026-06-17T16:00:00,13940,2280919,Dry Van,Tier 1
SH113,Port of Rotterdam,Port of Dubai,Oceanic Link,Road,2026-06-07T08:00:00,2026-06-10T19:00:00,6392,2281785,Reefer,Tier 1
SH114,Port of Shanghai,Port of Sydney,Global Trans,Ocean,2026-06-08T08:00:00,2026-06-14T10:00:00,7715,3797389,Flat Rack,Tier 3
SH115,Port of Mumbai,Port of Sydney,Swift Logistics,Ocean,2026-06-26T08:00:00,2026-06-30T04:00:00,8610,9959709,Dry Van,Tier 3
SH116,Port of Tokyo,Port of Singapore,Swift Logistics,Ocean,2026-06-13T08:00:00,2026-06-13T14:00:00,706,7608158,Reefer,Tier 1
SH117,Port of Rotterdam,Port of Singapore,Oceanic Link,Rail,2026-06-23T08:00:00,2026-06-26T21:00:00,5616,3306415,Open Top,Tier 3
SH118,Port of Tokyo,Port of London,Swift Logistics,Ocean,2026-06-28T08:00:00,2026-06-29T07:00:00,1559,6266204,Dry Van,Tier 3
SH119,Port of Singapore,Port of Hamburg,Apex Cargo,Air,2026-06-12T08:00:00,2026-06-12T14:00:00,11752,1625557,Open Top,Tier 3
SH120,Port of Los Angeles,Port of New York,Swift Logistics,Rail,2026-06-01T08:00:00,2026-06-08T02:00:00,10221,4320070,Open Top,Tier 2
SH121,Port of Shanghai,Port of Mumbai,Swift Logistics,Air,2026-06-07T08:00:00,2026-06-07T09:00:00,7276,6958531,Flat Rack,Tier 3
SH122,Port of Mumbai,Port of Sydney,Oceanic Link,Air,2026-06-24T08:00:00,2026-06-24T05:00:00,4248,4472880,Dry Van,Tier 2
SH123,Port of Tokyo,Port of Dubai,Oceanic Link,Rail,2026-06-07T08:00:00,2026-06-10T23:00:00,5732,89353,Open Top,Tier 2
SH124,Port of Singapore,Port of Dubai,Oceanic Link,Ocean,2026-06-02T08:00:00,2026-06-05T11:00:00,4196,7122695,Standard,Tier 2
SH125,Port of Singapore,Port of Sydney,Apex Cargo,Rail,2026-06-21T08:00:00,2026-06-26T11:00:00,7892,6659280,Dry Van,Tier 3
SH126,Port of Los Angeles,Port of Hamburg,Atlas Freight,Road,2026-06-06T08:00:00,2026-06-06T10:00:00,702,7153230,Flat Rack,Tier 3
SH127,Port of Mumbai,Port of Sydney,Oceanic Link,Ocean,2026-06-28T08:00:00,2026-06-30T04:00:00,9839,1709066,Flat Rack,Tier 3
SH128,Port of Rotterdam,Port of Sydney,Swift Logistics,Air,2026-06-07T08:00:00,2026-06-07T03:00:00,2486,3946830,Dry Van,Tier 2
SH129,Port of Los Angeles,Port of Mumbai,Oceanic Link,Rail,2026-06-11T08:00:00,2026-06-15T08:00:00,6259,9182582,Reefer,Tier 3
SH130,Port of Los Angeles,Port of Mumbai,Oceanic Link,Air,2026-06-16T08:00:00,2026-06-16T18:00:00,14986,2076793,Dry Van,Tier 2
SH131,Port of Singapore,Port of Mumbai,Atlas Freight,Rail,2026-06-27T08:00:00,2026-06-30T11:00:00,13668,736976,Open Top,Tier 3
SH132,Port of Tokyo,Port of Mumbai,Oceanic Link,Road,2026-06-11T08:00:00,2026-06-17T04:00:00,10374,3724515,Standard,Tier 3
SH133,Port of Shanghai,Port of Sydney,Atlas Freight,Air,2026-06-14T08:00:00,2026-06-14T14:00:00,11875,4377576,Flat Rack,Tier 2
SH134,Port of Singapore,Port of Hamburg,Swift Logistics,Rail,2026-06-01T08:00:00,2026-06-02T00:00:00,1456,6978040,Open Top,Tier 3
SH135,Port of Mumbai,Port of New York,Atlas Freight,Rail,2026-06-01T08:00:00,2026-06-05T12:00:00,6515,8566999,Dry Van,Tier 3
SH136,Port of Newark,Port of Sydney,Swift Logistics,Road,2026-06-08T08:00:00,2026-06-15T21:00:00,13257,2033509,Flat Rack,Tier 2
SH137,Port of Rotterdam,Port of Dubai,Global Trans,Ocean,2026-06-01T08:00:00,2026-06-05T11:00:00,5393,2507184,Open Top,Tier 3
SH138,Port of Hamburg,Port of London,Apex Cargo,Rail,2026-06-17T08:00:00,2026-06-26T08:00:00,13446,7315795,Dry Van,Tier 3
SH139,Port of Los Angeles,Port of Sydney,Apex Cargo,Air,2026-06-05T08:00:00,2026-06-05T04:00:00,3944,2977109,Dry Van,Tier 3
SH140,Port of Newark,Port of London,Oceanic Link,Air,2026-06-20T08:00:00,2026-06-20T16:00:00,12968,8553902,Dry Van,Tier 3
SH141,Port of Tokyo,Port of London,Apex Cargo,Rail,2026-06-25T08:00:00,2026-06-29T14:00:00,6602,2265167,Dry Van,Tier 1
SH142,Port of Singapore,Port of Shanghai,Global Trans,Road,2026-06-22T08:00:00,2026-06-23T10:00:00,2395,495101,Reefer,Tier 3
SH143,Port of Tokyo,Port of Hamburg,Swift Logistics,Air,2026-06-09T08:00:00,2026-06-09T02:00:00,1909,9663273,Standard,Tier 3
SH144,Port of Rotterdam,Port of New York,Apex Cargo,Air,2026-06-24T08:00:00,2026-06-24T04:00:00,3306,7832937,Dry Van,Tier 2
SH145,Port of Hamburg,Port of London,Global Trans,Road,2026-06-14T08:00:00,2026-06-19T01:00:00,8492,6149628,Open Top,Tier 3
SH146,Port of Newark,Port of New York,Atlas Freight,Road,2026-06-23T08:00:00,2026-06-27T05:00:00,7114,1222622,Open Top,Tier 3
SH147,Port of Tokyo,Port of New York,Swift Logistics,Ocean,2026-06-26T08:00:00,2026-06-29T13:00:00,4269,5943309,Flat Rack,Tier 3
SH148,Port of Mumbai,Port of Hamburg,Atlas Freight,Air,2026-06-01T08:00:00,2026-06-01T17:00:00,13625,3553157,Dry Van,Tier 1
SH149,Port of Newark,Port of London,Atlas Freight,Rail,2026-06-20T08:00:00,2026-06-20T08:00:00,504,1054646,Open Top,Tier 3
SH150,Port of Mumbai,Port of Shanghai,Swift Logistics,Road,2026-06-19T08:00:00,2026-06-23T12:00:00,7579,3429569,Open Top,Tier 3
SH151,Port of Shanghai,Port of Singapore,Swift Logistics,Rail,2026-06-21T08:00:00,2026-06-24T22:00:00,5677,1473286,Reefer,Tier 1
SH152,Port of Mumbai,Port of Shanghai,Oceanic Link,Rail,2026-06-02T08:00:00,2026-06-08T17:00:00,9704,6145929,Reefer,Tier 1
SH153,Port of Newark,Port of New York,Oceanic Link,Rail,2026-06-05T08:00:00,2026-06-10T11:00:00,7904,6715088,Flat Rack,Tier 3
